time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
0.93333334,0.19873536,0.6622729,0.13722253,0.0017678295,1.4160612e-06,7.0526245e-11,2.1839621e-16,4.2049956e-23,5.0339676e-31,3.74704e-40,1.0
0.95,0.19018506,0.6638109,0.14405857,0.0019438388,1.6308276e-06,8.507093e-11,2.7591778e-16,5.564283e-23,6.9768834e-31,5.43932e-40,1.0
0.96666664,0.18186991,0.6648676,0.15112488,0.0021358144,1.8767969e-06,1.0254108e-10,3.4834098e-16,7.357605e-23,9.662721e-31,7.89003e-40,1.0000001
0.98333335,0.17379132,0.6654395,0.15842207,0.0023450346,2.1582857e-06,1.2350876e-10,4.3944985e-16,9.7219186e-23,1.3372645e-30,1.1437e-39,1.0
1.0,0.16595003,0.6655246,0.16595003,0.0025728655,2.480179e-06,1.4865378e-10,5.5398115e-16,1.2836304e-22,1.8493302e-30,1.656577e-39,1.0
1.0166667,0.1583464,0.6651216,0.1737083,0.0028207642,2.8479976e-06,1.7878776e-10,6.9785335e-16,1.6936095e-22,2.5555838e-30,2.397727e-39,0.99999994
1.0333333,0.15098011,0.66423064,0.18169568,0.0030902722,3.267952e-06,2.1487293e-10,8.7843844e-16,2.232918e-22,3.529044e-30,3.467893e-39,1.0
1.05,0.14385054,0.66285235,0.18991035,0.003383039,3.7470743e-06,2.580499e-10,1.1049535e-15,2.9417648e-22,4.869652e-30,5.01209e-39,1.0
1.0666667,0.13695638,0.6609885,0.19835001,0.0037008098,4.293266e-06,3.0967437e-10,1.3888267e-15,3.8727636e-22,6.714573e-30,7.238442e-39,1.0
1.0833334,0.13029617,0.65864223,0.20701128,0.004045434,4.9154432e-06,3.7135356e-10,1.7443664e-15,5.0946546e-22,9.251693e-30,1.0446007e-38,1.0
1.1,0.12386788,0.6558172,0.21589044,0.004418864,5.6235885e-06,4.449833e-10,2.1892837e-15,6.69707e-22,1.273773e-29,1.5063652e-38,1.0
1.1166667,0.11766909,0.65251833,0.2249829,0.0048231734,6.42899e-06,5.3281884e-10,2.7456401e-15,8.796916e-22,1.7524676e-29,2.1706543e-38,0.99999994
1.1333333,0.11169709,0.6487516,0.23428337,0.0052605495,7.3442416e-06,6.375142e-10,3.4408022e-15,1.1546596e-21,2.4092078e-29,3.125532e-38,0.99999994
1.15,0.105948865,0.64452374,0.2437857,0.0057332925,8.383529e-06,7.6221307e-10,4.308748e-15,1.514448e-21,3.3096628e-29,4.4971345e-38,1.0
1.1666666,0.10042095,0.63984275,0.2534829,0.0062438226,9.562665e-06,9.106127e-10,5.3915667e-15,1.9848257e-21,4.543189e-29,6.465746e-38,1.0
1.1833333,0.095109776,0.6347173,0.26336738,0.0067947004,1.089947e-05,1.0870932e-09,6.7414573e-15,2.5993828e-21,6.2317646e-29,9.2892636e-38,1.0
1.2,0.0900114,0.629157,0.27343056,0.00738859,1.2413733e-05,1.296792e-09,8.422929e-15,3.4015892e-21,8.5414217e-29,1.33353e-37,1.0
1.2166667,0.08512181,0.62317276,0.283663,0.008028295,1.412767e-05,1.5457675e-09,1.0515869e-14,4.448068e-21,1.1698326e-28,1.9129578e-37,1.0
1.2333333,0.08043656,0.61677605,0.29405454,0.008716752,1.6066033e-05,1.8411451e-09,1.3118869e-14,5.8120262e-21,1.6009973e-28,2.742046e-37,1.0
1.25,0.07595125,0.6099792,0.30459425,0.009457033,1.8256394e-05,2.1912998e-09,1.6353602e-14,7.588445e-21,2.189357e-28,3.9274714e-37,1.0
1.2666667,0.07166116,0.6027956,0.31527022,0.010252325,2.0729482e-05,2.6060392e-09,2.0370382e-14,9.9002065e-21,2.9916818e-28,5.6210305e-37,1.0
1.2833333,0.06756145,0.59523916,0.32606983,0.011105957,2.351951e-05,3.096898e-09,2.535435e-14,1.2906322e-20,4.0849273e-28,8.038697e-37,0.99999994
1.3,0.06364727,0.587325,0.33697966,0.012021414,2.6664513e-05,3.6773828e-09,3.1533478e-14,1.6812415e-20,5.573325e-28,1.1487568e-36,0.99999994
1.3166667,0.059913512,0.5790683,0.34798568,0.013002278,3.0206711e-05,4.3632977e-09,3.9187973e-14,2.188337e-20,7.5981446e-28,1.6402951e-36,1.0
1.3333334,0.056355137,0.5704856,0.35907277,0.014052278,3.4193043e-05,5.173157e-09,4.866314e-14,2.8462345e-20,1.0350621e-27,2.340417e-36,1.0
1.35,0.05296692,0.5615937,0.37022543,0.015175288,3.8675313e-05,6.1285537e-09,6.0381855e-14,3.699008e-20,1.4089212e-27,3.3366777e-36,1.0
1.3666667,0.049743686,0.55241007,0.38142732,0.016375273,4.371119e-05,7.254749e-09,7.486491e-14,4.8035467e-20,1.9163253e-27,4.753434e-36,1.0000001
