time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0166667,0.0,0.98333335,0.01666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0333333,0.0,0.9666667,0.0333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.05,0.0,0.95000005,0.049999952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0666667,0.0,0.9333333,0.06666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0833334,0.0,0.9166666,0.08333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.1,0.0,0.9,0.100000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.1166667,0.0,0.8833333,0.116666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.1333333,0.0,0.8666667,0.13333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.15,0.0,0.85,0.14999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.1666666,0.0,0.8333334,0.16666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.1833333,0.0,0.8166667,0.18333328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2,0.0,0.79999995,0.20000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2166667,0.0,0.7833333,0.2166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2333333,0.0,0.76666665,0.23333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.25,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2666667,0.0,0.73333335,0.26666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2833333,0.0,0.7166667,0.2833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.3,0.0,0.70000005,0.29999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.3166667,0.0,0.6833333,0.31666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.3333334,0.0,0.6666666,0.33333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
