time_sec,lap_var_s0.3,rms_contrast_s0.3,lap_var_s0.6,rms_contrast_s0.6,lap_var_s0.9,rms_contrast_s0.9
4.55,214.02867,0.56705076,213.97359,0.56700504,214.19695,0.5670462
4.5666666,217.2261,0.5669276,216.69803,0.566904,217.23367,0.56690526
4.5833335,215.85077,0.5664223,215.79994,0.5663856,215.72534,0.5663953
4.6,218.55615,0.5666895,219.34784,0.5666987,219.10872,0.5666946
4.616667,219.53656,0.56634676,219.94878,0.56636566,219.76906,0.56633824
4.633333,218.14986,0.56617045,218.86578,0.5661801,218.78519,0.5661831
4.65,218.4519,0.5671139,218.90712,0.567146,219.07336,0.5671516
4.6666665,217.9383,0.5680022,218.4555,0.56801254,218.19601,0.5680118
4.6833334,215.80266,0.568193,215.8362,0.568197,216.16507,0.56818783
4.7,215.65262,0.568517,216.15602,0.568553,215.5774,0.5685199
4.7166667,215.15538,0.5691236,215.21143,0.5691545,214.84053,0.5691062
4.733333,213.69023,0.56889343,213.8787,0.5688764,213.6349,0.56888366
4.75,215.10036,0.56917155,214.81345,0.5692016,214.33487,0.569191
4.766667,215.94467,0.5691338,215.47417,0.5691238,215.47566,0.5691438
4.7833333,216.63675,0.568395,216.46509,0.5684325,216.10298,0.5684152
4.8,218.15315,0.56866366,218.19319,0.56866676,217.99857,0.56865674
4.8166666,219.78333,0.5687711,220.0031,0.56878567,219.44734,0.568774
4.8333335,220.11618,0.5675842,222.21716,0.5676623,222.43224,0.56765187
4.85,221.81787,0.56826407,226.73299,0.5683282,229.52585,0.56847525
4.866667,226.15413,0.568348,235.99403,0.5686427,245.7312,0.5689942
4.883333,236.84291,0.5673914,254.98877,0.56809604,276.34918,0.56872416
4.9,246.26971,0.5678292,277.01987,0.5690273,313.83304,0.57031137
4.9166665,262.10513,0.56807053,315.80563,0.5699448,374.26505,0.5719596
4.9333334,288.10947,0.56814206,368.96942,0.5707346,459.99557,0.5735926
4.95,308.56134,0.5686702,421.92496,0.5724872,555.06396,0.5763997
4.9666667,331.9521,0.56870604,473.2771,0.57342154,642.70184,0.5783126
4.983333,349.78958,0.5693296,517.62915,0.574708,718.6002,0.58024
5.0,356.19824,0.5699511,531.03894,0.57543904,741.58307,0.5812274
5.016667,347.67352,0.5688097,512.73334,0.5739557,709.4794,0.5791881
5.0333333,339.83685,0.5687388,486.80212,0.57339257,661.17163,0.57814497
5.05,316.34747,0.5685331,430.62787,0.57194245,564.4743,0.57565284
5.0666666,303.8447,0.56856054,392.3532,0.57128906,487.38867,0.57407916
5.0833335,278.71158,0.5678795,343.3935,0.5697124,407.85544,0.5717642
5.1,250.8669,0.56783086,291.18646,0.5688939,334.41022,0.5699445
5.116667,245.04031,0.56868243,265.88947,0.5692879,290.06827,0.56994176
5.133333,235.98419,0.5686333,247.63925,0.56897223,260.73682,0.5693006
5.15,229.01247,0.5692509,232.61865,0.5692861,237.95335,0.5694094
5.1666665,227.60971,0.56989396,229.71494,0.5699011,231.70285,0.56990355
5.1833334,225.27698,0.5688595,226.24915,0.5688431,228.02155,0.568873
5.2,221.5884,0.5683329,221.42828,0.5683462,222.98769,0.56836915
5.2166667,220.724,0.567876,221.09286,0.56788695,222.08469,0.5679019
5.233333,216.4419,0.5669176,217.22398,0.5669187,217.36409,0.566922
5.25,212.6443,0.56586564,212.7445,0.565881,213.04736,0.565931
5.266667,212.50023,0.5649971,212.91464,0.5650291,212.60191,0.56500936
5.2833333,210.77986,0.5641673,211.52226,0.5641991,210.84644,0.56417376
5.3,208.16685,0.5637794,208.31232,0.563795,208.14928,0.56380713
5.3166666,209.77663,0.5632681,210.19781,0.5632671,209.25075,0.5632772
5.3333335,207.7052,0.56288016,207.9281,0.5628872,208.22041,0.56289476
5.35,207.88052,0.5624674,208.6858,0.56248003,207.98344,0.5624631
5.366667,205.80522,0.562176,207.01866,0.56219923,205.66377,0.5621887
5.383333,205.90872,0.5626156,206.87328,0.5626581,206.16882,0.5626504
5.4,204.97311,0.56288177,205.72908,0.5629092,205.59024,0.56290835
5.4166665,202.55235,0.5628451,203.24133,0.5628764,202.88792,0.5628572
5.4333334,202.70229,0.5631999,203.13263,0.56320703,202.65036,0.5632185
5.45,202.3484,0.56262904,201.53282,0.5626416,202.29742,0.56267375
5.4666667,198.56409,0.56180334,198.00378,0.5618259,198.72343,0.5617981
5.483333,199.39172,0.5616996,199.57056,0.561697,199.38048,0.5617241
5.5,197.47345,0.5617391,197.73772,0.5617841,197.66003,0.5617579
5.516667,195.65158,0.5612417,195.65106,0.56123996,195.9588,0.5612816
5.5333333,194.47086,0.5611014,193.4853,0.56110716,193.84348,0.56115055
5.55,191.43253,0.5601859,190.23639,0.56017286,190.53749,0.5601666
5.5666666,191.44307,0.55997777,190.71063,0.5599866,190.93005,0.55996966
5.5833335,188.12659,0.5590301,187.89018,0.5590705,187.69765,0.5590565
5.6,190.1026,0.55914414,189.5648,0.5591657,189.2077,0.559144
5.616667,189.86475,0.55931497,190.26242,0.55930805,189.96239,0.55932945
5.633333,189.43846,0.55877745,189.1446,0.55876184,189.31053,0.5587884
5.65,190.41951,0.5596696,190.30736,0.5596834,190.9376,0.5596734
5.6666665,190.47206,0.5606778,190.77927,0.5606937,190.92653,0.56068426
5.6833334,189.07687,0.5611253,189.57327,0.5611242,189.09148,0.5611326
5.7,188.60583,0.5613235,189.2238,0.5613226,188.6398,0.5613393
5.7166667,188.63284,0.56186104,189.35902,0.5618567,188.4315,0.5618525
5.733333,186.86821,0.561288,187.74796,0.56123894,187.3686,0.56125045
5.75,187.99698,0.5614191,188.4094,0.56143636,188.34796,0.5614498
5.766667,188.02052,0.56125844,188.0415,0.5612311,187.69862,0.5612455
5.7833333,186.42436,0.5601394,186.08,0.5601117,186.06361,0.56004846
5.8,187.71034,0.560214,187.41258,0.5601935,187.84802,0.5601918
5.8166666,187.46936,0.56027174,188.24716,0.56031275,188.00096,0.5603024
5.8333335,188.64919,0.5594217,189.39659,0.55942124,190.7198,0.55947447
5.85,189.9012,0.56022346,192.94263,0.5602538,196.84015,0.5603759
5.866667,193.59204,0.56020945,201.6745,0.56052333,209.44315,0.56086624
5.883333,203.55486,0.5600578,222.16597,0.56077707,237.07312,0.56125087
5.9,212.2822,0.5601942,239.27501,0.5613235,268.30405,0.5624539
5.9166665,225.496,0.561061,272.20087,0.56271607,323.76053,0.56442887
5.9333334,248.88293,0.56100327,317.9963,0.5631667,397.83835,0.5656256
5.95,265.2043,0.56171376,366.46817,0.56506896,480.66037,0.5685949
5.9666667,284.42838,0.5612789,407.99393,0.5653294,549.18304,0.5694379
5.983333,300.61862,0.5621811,447.54184,0.56694824,618.5632,0.5718807
6.0,303.0499,0.56175697,451.1233,0.5665741,628.64044,0.5716008
6.016667,304.82654,0.5619548,453.09308,0.5666744,632.029,0.5716536
6.0333333,299.278,0.56135076,435.694,0.56558025,595.4146,0.56993
